epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,993.924,0.42258,0.33079,0.86199,0.6141,0.64751,0.6034,0.51017,0.4484,0.3851,0.83565,0.000330233,0.000330233,0.000330233
83,1006.06,0.39919,0.31952,0.85495,0.73095,0.63036,0.61898,0.51553,0.45576,0.37705,0.85052,0.000313729,0.000313729,0.000313729
84,1018.15,0.42501,0.32789,0.87323,0.77395,0.60533,0.62653,0.51535,0.45593,0.3952,0.84947,0.000297226,0.000297226,0.000297226
85,1030.3,0.42071,0.32586,0.86541,0.64001,0.65549,0.61607,0.50327,0.45648,0.396,0.83865,0.000280723,0.000280723,0.000280723
86,1042.45,0.40673,0.31424,0.85015,0.68226,0.62061,0.60934,0.50757,0.45763,0.39739,0.84826,0.00026422,0.00026422,0.00026422
87,1054.68,0.41146,0.31669,0.86535,0.6838,0.61696,0.6039,0.50792,0.45408,0.38635,0.84883,0.000247716,0.000247716,0.000247716
88,1066.75,0.41017,0.30634,0.85332,0.71117,0.6283,0.61896,0.50804,0.45485,0.41222,0.85196,0.000231213,0.000231213,0.000231213
89,1078.66,0.4075,0.32145,0.8533,0.70681,0.63913,0.63456,0.51236,0.4346,0.38531,0.84831,0.00021471,0.00021471,0.00021471
90,1090.69,0.39495,0.30343,0.85619,0.72344,0.63656,0.62292,0.51619,0.42691,0.37097,0.84707,0.000198206,0.000198206,0.000198206
91,1131.75,0.33964,0.25593,0.81163,0.7195,0.62129,0.61027,0.50829,0.44929,0.38651,0.84487,0.000181703,0.000181703,0.000181703
92,1144.05,0.34216,0.25898,0.80598,0.73984,0.63291,0.61748,0.51074,0.4359,0.38544,0.84214,0.0001652,0.0001652,0.0001652
93,1156,0.32739,0.24279,0.81608,0.71047,0.64021,0.61643,0.51344,0.43691,0.38965,0.84826,0.000148696,0.000148696,0.000148696
94,1167.84,0.31606,0.24016,0.80991,0.67968,0.64021,0.61873,0.51237,0.43352,0.38557,0.84641,0.000132193,0.000132193,0.000132193
95,1179.86,0.32061,0.23905,0.80358,0.7053,0.65184,0.61875,0.50875,0.42851,0.38588,0.84711,0.00011569,0.00011569,0.00011569
96,1192,0.31299,0.23491,0.80003,0.61667,0.65184,0.61404,0.51046,0.41287,0.38668,0.83417,9.91865e-05,9.91865e-05,9.91865e-05
97,1203.87,0.30525,0.23518,0.8036,0.72535,0.62494,0.62034,0.51097,0.41324,0.3874,0.83303,8.26832e-05,8.26832e-05,8.26832e-05
98,1215.9,0.30456,0.23713,0.80448,0.64863,0.66347,0.62443,0.51346,0.40932,0.37915,0.83697,6.61799e-05,6.61799e-05,6.61799e-05
99,1227.84,0.30488,0.22597,0.79851,0.71979,0.62494,0.62404,0.51404,0.41268,0.3758,0.83683,4.96766e-05,4.96766e-05,4.96766e-05
100,1239.72,0.30504,0.22963,0.80061,0.72262,0.62494,0.6277,0.51521,0.40165,0.3709,0.83248,3.31733e-05,3.31733e-05,3.31733e-05
